lng,lat,OBJEKT_NR,OBJEKTBEZ,BAUMNUMMER,BAUMART,BOTANISCHER_NAME,PFLANZJAHR
6.58364213255416,51.3413059115563,0470340,GRENZSTRAßE,123,Kegel- Linde Glenleven,Tilia cordata Glenleven,2016
6.5814395260149,51.3335697640513,0470368,HARDENBERGSTRAßE,55,Blauglockenbaum,Paulownia tomentosa,2016
6.58154876334999,51.3335362109965,0470368,HARDENBERGSTRAßE,56,Blauglockenbaum,Paulownia tomentosa,2016
6.59998508632342,51.319811509049,0670356,HAFELSSTRAßE,134,Kaiserlinde,Tilia vulgaris Pallida,2016
6.58165644921805,51.3335830294581,0470368,HARDENBERGSTRAßE,57,Blauglockenbaum,Paulownia tomentosa,2016
6.61654459993165,51.3353642093124,0770333,GLINDHOLZSTRAßE,23,Kegel-Robinie,Robinia pseudoacacia Bessoniana,2016
6.5864370870932,51.3402320698778,0870335,GNEISENAUSTRAßE,27,Japanische Zierkirsche,Prunus serrulata Kanzan,2016
6.58151099554348,51.3337351551926,0470368,HARDENBERGSTRAßE,52,Blauglockenbaum,Paulownia tomentosa,2016
6.58718402394372,51.3390114147305,0870335,GNEISENAUSTRAßE,41,Japanische Zierkirsche,Prunus serrulata Kanzan,2016
6.6164663282965,51.3349914696838,0770333,GLINDHOLZSTRAßE,21,Kegel-Robinie,Robinia pseudoacacia Bessoniana,2016
6.5382800495289,51.3580354018672,0270289,FLÜNNERTZDYK,23,Gemeine Hainbuche,Carpinus betulus,2016
6.61642357446763,51.3348019564959,0770333,GLINDHOLZSTRAßE,19,Kegel-Robinie,Robinia pseudoacacia Bessoniana,2016
6.59857780829149,51.3398267144322,0770244,EICHENDORFFSTRAßE,49,Schmalkronige Platane,Platanus acerifolia Tremonia,2016
6.5821226180048,51.3414511707813,0470302,FRIEDRICH-EBERT-STRAßE,39,Schnurbaum,Sophora japonica Regent,2016
6.59410671837137,51.3437909582284,0870489,KARL-HÜGEL-STRAßE,3,Gemeine Hainbuche,Carpinus betulus,2016
6.57922997193509,51.3457748588083,0870469,JENTGESALLEE,106,Spitz-Ahorn,Acer platanoides,2016
6.56267927880474,51.3559392428913,0270511,KLIEDBRUCHSTRAßE,69,Stiel-Eiche,Quercus robur,2016
6.56314689099848,51.3497972278559,0270536,KRÜLLSDYK,42,Berg-Ahorn,Acer pseudoplatanus,2016
6.56306452655258,51.3555256316846,0270511,KLIEDBRUCHSTRAßE,63,Stiel-Eiche,Quercus robur,2016
6.58296382640724,51.3424753672041,0870469,JENTGESALLEE,116,Spitz-Ahorn,Acer platanoides,2016
6.57657749737749,51.3419488961701,0470426,HOHENZOLLERNSTRAßE,160,Blutbuche,Fagus sylvatica Purpurea,2016
6.57894742879828,51.3460243320748,0870469,JENTGESALLEE,108,Spitz-Ahorn,Acer platanoides,2016
6.580394642265,51.3446188510547,0470469,JENTGESALLEE,62,Spitz-Ahorn,Acer platanoides,2016
6.58106861075059,51.3388197882823,0470442,HUNZINGERSTRAßE,53,Sorte des Rot-Ahorns,Acer rubrum Armstrong,2016
6.57610390210153,51.3471983952524,0470426,HOHENZOLLERNSTRAßE,1,Blutbuche,Fagus sylvatica Purpurea,2016
6.56986983848409,51.3550594698212,0270425,HOHEN DYK,25,Spitz-Ahorn,Acer platanoides,2016
6.57870365223886,51.3463601178393,0870469,JENTGESALLEE,61,Spitz-Ahorn,Acer platanoides,2016
6.58290749221819,51.3393003826298,0470442,HUNZINGERSTRAßE,24,Sorte des Rot-Ahorns,Acer rubrum Armstrong,2016
6.58316150461233,51.3392982149825,0470442,HUNZINGERSTRAßE,43,Sorte des Rot-Ahorns,Acer rubrum Armstrong,2016
6.5705935688342,51.3195216544309,0570473,JOHANNESPLATZ,4,Sorte des Tulpenbaums,Liriodendron tulip.Fastigiata,2016
6.58025696540657,51.3447408938948,0470469,JENTGESALLEE,61,Spitz-Ahorn,Acer platanoides,2016
6.59375286260217,51.3523747347215,0870438,HÜTTENALLEE,57,Rotbuche,Fagus sylvatica,2016
6.57967909237915,51.3452417399982,0470469,JENTGESALLEE,58,Spitz-Ahorn,Acer platanoides,2016
6.57073507420755,51.3192440961125,0570473,JOHANNESPLATZ,8,Sorte des Tulpenbaums,Liriodendron tulip.Fastigiata,2016
6.58010823015051,51.3450122042652,0870469,JENTGESALLEE,97,Spitz-Ahorn,Acer platanoides,2016
6.54395898121267,51.353067211177,0270433,HORSTDYK,31,Stiel-Eiche,Quercus robur,2016
6.57924125646631,51.3456212105578,0470469,JENTGESALLEE,56,Spitz-Ahorn,Acer platanoides,2016
6.57594369056073,51.3470050005065,0470426,HOHENZOLLERNSTRAßE,30,Blutbuche,Fagus sylvatica Purpurea,2016
6.56976758640454,51.3549189207207,0270425,HOHEN DYK,23,Spitz-Ahorn,Acer platanoides,2016
6.58507215449862,51.3390980809782,0870340,GRENZSTRAßE,159,Selektion der Felsenbirne,Amelanchier arborea Robin Hill,2016
6.60236201193918,51.2995774665409,0670349,GRUNDEND,1,Stiel-Eiche,Quercus robur,2016
6.62393965900102,51.3201451693197,0770372,HAUPTSTRAßE,118,Einblättrige Robinie,Robinia pseudoacacia Unifoliola,2016
6.56590845225462,51.3392086413061,0470637,MOERSER STRAßE,9016,Europäische Hopfenbuche,Ostrya carpinifolia,2016
6.57503795171855,51.3497196257469,0870637,MOERSER STRAßE,1139,Kaiserlinde,Tilia vulgaris Pallida,2016
6.61792133730432,51.3707189721925,0870665,NEUKIRCHENER STRAßE,8,Sumpf-Eiche,Quercus palustris,2016
6.54691036894239,51.3381111770069,0170663,NEUER WEG,43,Kaiserlinde,Tilia vulgaris Pallida,2016
6.54680195659656,51.3380442788764,0170663,NEUER WEG,44,Kaiserlinde,Tilia vulgaris Pallida,2016
6.57293284257313,51.3461978396687,0470637,MOERSER STRAßE,68,Europäische Hopfenbuche,Ostrya carpinifolia,2016
6.55594621199122,51.3299970560398,0170140,BLUMENSTRAßE,112,Rotdorn,Crataegus laevigata Pauls Scarlet,2016
6.57496027675759,51.3517168390367,0870637,MOERSER STRAßE,1133,Kaiserlinde,Tilia vulgaris Pallida,2016
6.56614697351626,51.3394538019589,0470637,MOERSER STRAßE,294,Europäische Hopfenbuche,Ostrya carpinifolia,2016
6.5701273376948,51.3379558150306,0470569,LEYENTALSTRAßE,24,Baum-Magnolie,Magnolia kobus,2016
6.5694415817525,51.3415732105699,0270637,MOERSER STRAßE,270,Europäische Hopfenbuche,Ostrya carpinifolia,2016
6.56936498521768,51.3415313333047,0270637,MOERSER STRAßE,271,Europäische Hopfenbuche,Ostrya carpinifolia,2016
6.56928982192716,51.3414894495187,0270637,MOERSER STRAßE,272,Europäische Hopfenbuche,Ostrya carpinifolia,2016
6.5616651814387,51.3172782303612,0570571,LEYSNERSTRAßE,13,Säulenförmige Robinie,Robinia pseudoacacia Pyramidalis,2016
6.56839672403195,51.3409957019867,0270637,MOERSER STRAßE,276,Europäische Hopfenbuche,Ostrya carpinifolia,2016
6.56205542966586,51.3490546274087,0270536,KRÜLLSDYK,12,Berg-Ahorn,Acer pseudoplatanus,2016
6.5645913783844,51.3504032949883,0270536,KRÜLLSDYK,17,Berg-Ahorn,Acer pseudoplatanus,2016
6.5622279423026,51.3564123779285,0270511,KLIEDBRUCHSTRAßE,79,Stiel-Eiche,Quercus robur,2016
6.57086698424764,51.3377089772592,0470569,LEYENTALSTRAßE,18,Schwedische Mehlbeere,Sorbus intermedia,2016
6.57075273522127,51.3391078636763,0470565,LESSINGSTRAßE,8,Kegel-Robinie,Robinia pseudoacacia Bessoniana,2016
6.5669736946024,51.3400242874445,0470637,MOERSER STRAßE,283,Europäische Hopfenbuche,Ostrya carpinifolia,2016
