lng,lat,OBJEKT_NR,OBJEKTBEZ,BAUMNUMMER,BAUMART,BOTANISCHER_NAME,PFLANZJAHR,icon,color
6.62824266008165,51.3508530254308,0870499,KIELER STRAßE,18,Katsurabaum,Ceridiphyllum japonicum,2017,fa-leaf,green
6.59364021228701,51.3484648138307,0870345,GROTENBURGSTRAßE,84,Papier-Birke,Betula papyrifera,2017,fa-leaf,green
6.59360377654466,51.3485324111624,0870345,GROTENBURGSTRAßE,85,Papier-Birke,Betula papyrifera,2017,fa-leaf,green
6.58238061470463,51.3391798683566,0470442,HUNZINGERSTRAßE,22,Sorte des Rot-Ahorns,Acer rubrum Armstrong,2017,fa-leaf,green
6.52580661839524,51.3591007152134,0370436,HÜLSER STRAßE,10,Gemeine Hainbuche,Carpinus betulus,2017,fa-leaf,green
6.53551297759398,51.3531257125582,0270436,HÜLSER STRAßE,28,Gemeine Hainbuche,Carpinus betulus,2017,fa-leaf,green
6.60831607872147,51.3359164295735,0770475,JOHANSENAUE,28,Papier-Birke,Betula papyrifera,2017,fa-leaf,green
6.6439691333852,51.3616494582665,0970415,HOCHSTADENSTRAßE,11,Kegel-Robinie,Robinia pseudoacacia Bessoniana,2017,fa-leaf,green
6.5494716707332,51.3401508737647,0170663,NEUER WEG,15,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.54948804297287,51.3212827898075,0570654,NAUENWEG,39,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.55698902617999,51.3373635932442,0470681,NORDSTRAßE,6,Sorte der Stechpalme,Ilex mutchagara 'Nellie R. Stevens',2017,fa-leaf,green
6.55746928760222,51.3374565633634,0470681,NORDSTRAßE,8,Sorte der Stechpalme,Ilex mutchagara 'Nellie R. Stevens',2017,fa-leaf,green
6.54789193709724,51.3385927895995,0170663,NEUER WEG,86,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.5630408284686,51.3204911425516,0570601,LUTHERPLATZ,49,Yoshino-Kirsche,Prunus x yedoensis,2017,fa-leaf,green
6.56315007719243,51.320504099327,0570601,LUTHERPLATZ,50,Yoshino-Kirsche,Prunus x yedoensis,2017,fa-leaf,green
6.64321148934069,51.3630063769023,0970523,KONRADSTRAßE,7,Sorte der Japanische Zierkirsche,Prunus serrulata Sunset Boulevard,2017,fa-leaf,green
6.64340220871391,51.3628713478097,0970523,KONRADSTRAßE,19,Sorte der Japanische Zierkirsche,Prunus serrulata Sunset Boulevard,2017,fa-leaf,green
6.64342429544839,51.3626358759526,0970523,KONRADSTRAßE,3,Sorte der Japanische Zierkirsche,Prunus serrulata Sunset Boulevard,2017,fa-leaf,green
6.56371959650809,51.3210181099703,0570601,LUTHERPLATZ,5,Yoshino-Kirsche,Prunus x yedoensis,2017,fa-leaf,green
6.65201912304317,51.3500269875225,0970521,KOLPINGSTRAßE,39,Schwedische Mehlbeere,Sorbus intermedia,2017,fa-leaf,green
