id;address;schooltype;title;content;type;2017;2018;2019;2020;2021;2022;finance;costs;comments;lat;lng;icon;color
32;Bismarckstr. 67;Grundschule ;Bismarckschule;Anstrich Flurwände;Sanierung;; ;x; ; ; ;Gute Schule 2020-Mittel;4525000;;51.341559;06.57382;fa-graduation-cap;blue
33;Bismarckstr. 67;Grundschule ;Bismarckschule;Klassentrakt, Erneuerung Fenster ;Gebäudehülle;; ; ; ;x; ;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
34;Bismarckstr. 67;Grundschule ;Bismarckschule;Verbindung Sekretariat/Schulleitung ;Nutzung;; ;x; ; ; ;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
35;Bismarckstr. 67;Grundschule ;Bismarckschule;Ggf. zusätzliche Erweiterung auf Grundlage SEP u. Musterraumprogramm;SEP;;;;;;;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
36;Bismarckstr. 67;Grundschule ;Bismarckschule;Sanierung ehemalige Ganztagsräume;Sanierung;;x; ; ; ; ;Gute Schule 2020-Mittel;4525000;;51.341559;06.57382;fa-graduation-cap;blue
37;Bismarckstr. 67;Grundschule ;Bismarckschule;Pavillon, Hochbau;Neubau;x;; ; ; ; ;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
38;Bismarckstr. 67;Grundschule ;Bismarckschule;Pavillon, Tiefbau;Neubau;x; ; ; ; ; ;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
39;Bismarckstr. 67;Grundschule ;Bismarckschule;Pavillon, Einrichtung;Neubau;x; ; ; ; ; ;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
40;Bismarckstr. 67;Grundschule ;Bismarckschule;Bauunterhalt < 10.000 Euro;Sanierung;;x;x;x;x;x;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
42;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Sanierung Sanitäranlagen;Sanierung;; ; ; ; ;x;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
43;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Sanierung Bestandsfassade inkl. Hydrophobierung;Gebäudehülle;;x; ; ; ; ;Gute Schule 2020-Mittel;1120000;;51.333853;6.579489;fa-graduation-cap;blue
44;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Digitalisierung;Digitalisierung;; ;x; ; ; ;Gute Schule 2020-Mittel;1120000;;51.333853;6.579489;fa-graduation-cap;blue
45;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Sonnenschutzanl. Südseite;Gebäudehülle;;x; ; ; ; ;Gute Schule 2020-Mittel;1120000;;51.333853;6.579489;fa-graduation-cap;blue
46;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Hauptgebäude, Dachsanierung ;Gebäudehülle;;x; ; ; ; ;Gute Schule 2020-Mittel;1120000;;51.333853;6.579489;fa-graduation-cap;blue
47;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Sanierung Flure und Treppenhäuser;Sanierung;; ; ; ; ;x;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
48;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Austausch Holzfenster und Türen;Gebäudehülle;;x; ; ; ; ;Gute Schule 2020-Mittel;1120000;;51.333853;6.579489;fa-graduation-cap;blue
49;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Rauchmeldertausch, Erw. auf Turnhalle;Brandschutz;;x; ; ; ; ;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
50;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Sanierung Klassenräume;Sanierung;; ; ; ; ;x;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
51;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Schulhofsanierung;Außenanlagen;;;x; ; ;;Gute Schule 2020-Mittel;1120000;;51.333853;6.579489;fa-graduation-cap;blue
52;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Turnhalle, 2. RW für Umkleiden;Brandschutz;; ; ; ; ;x;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
