lng,lat,OBJEKT_NR,OBJEKTBEZ,BAUMNUMMER,BAUMART,BOTANISCHER_NAME,PFLANZJAHR,icon,color
6.56878723917816,51.3609465286198,0270418,HÖKENDYK,7139,Rotbuche,Fagus sylvatica,2015,fa-leaf,green
6.64237917961045,51.3586069290651,4878518,"An der Kesselschmiede, Grünanlage",3,Zierkirsche,Prunus hillerii Spire,2015,fa-leaf,green
6.64256962231492,51.3586456847992,4878518,"An der Kesselschmiede, Grünanlage",4,Zierkirsche,Prunus hillerii Spire,2015,fa-leaf,green
6.53243016000868,51.3171600661665,0170043,AM KONNERTZFELD,8,Kaiserlinde,Tilia vulgaris Pallida,2015,fa-leaf,green
6.53237488517472,51.3172266936911,0170043,AM KONNERTZFELD,9,Kaiserlinde,Tilia vulgaris Pallida,2015,fa-leaf,green
6.64667057797406,51.3378207213712,2778204,"Kohlplatzweg 25, Grundschule",40,Apfel,Malus  species,2015,fa-leaf,green
6.5253519031326,51.3737557459371,B3_16,"Langen Dyk, mittig Hölschen- und Steegerdyk",10,Kopfweide,Salix alba,2015,fa-leaf,green
6.56671037027694,51.3600742579918,0270418,HÖKENDYK,120,Rotbuche,Fagus sylvatica,2015,fa-leaf,green
6.56616785081985,51.3598102593304,0270418,HÖKENDYK,124,Rotbuche,Fagus sylvatica,2015,fa-leaf,green
6.56603543924768,51.35974724912,0270418,HÖKENDYK,125,Rotbuche,Fagus sylvatica,2015,fa-leaf,green
6.56576343180102,51.3596158625279,0270418,HÖKENDYK,127,Rotbuche,Fagus sylvatica,2015,fa-leaf,green
6.56504791671997,51.3592715456256,0270418,HÖKENDYK,132,Rotbuche,Fagus sylvatica,2015,fa-leaf,green
6.5676820372765,51.3605488982966,0270418,HÖKENDYK,113,Rotbuche,Fagus sylvatica,2015,fa-leaf,green
6.56890295401196,51.3611296149248,0270418,HÖKENDYK,104,Rotbuche,Fagus sylvatica,2015,fa-leaf,green
